invoice,invoicedate,TotalPrice,TotalPrice_USD,TotalPrice_EUR
581483,2011-12-09 09:15:00,168469.6,213956.39200000002,197109.432
541431,2011-01-18 10:01:00,77183.6,98023.172,90304.812
556444,2011-06-10 15:28:00,38970.0,49491.9,45594.899999999994
530715,2010-11-04 11:36:00,15818.4,20089.368,18507.528
502263,2010-03-23 15:22:00,10953.5,13910.945,12815.595
524159,2010-09-27 16:12:00,10468.8,13295.375999999998,12248.496
496115,2010-01-29 11:04:00,8985.6,11411.712000000001,10513.152
511465,2010-06-08 12:59:00,8925.0,11334.75,10442.25
551697,2011-05-03 13:46:00,8142.75,10341.2925,9527.0175
567423,2011-09-20 11:05:00,7144.719999999999,9073.794399999999,8359.3224
501766,2010-03-19 11:35:00,6958.17,8836.875900000001,8141.0589
501768,2010-03-19 11:45:00,6958.17,8836.875900000001,8141.0589
540815,2011-01-11 12:55:00,6539.400000000001,8305.038,7651.098
550461,2011-04-18 13:20:00,6539.400000000001,8305.038,7651.098
525968,2010-10-08 10:10:00,5179.2,6577.584,6059.664
573003,2011-10-27 12:11:00,4992.0,6339.84,5840.639999999999
540815,2011-01-11 12:55:00,4921.5,6250.305,5758.155
550461,2011-04-18 13:20:00,4632.0,5882.64,5419.44
540818,2011-01-11 12:57:00,4522.5,5743.575,5291.325
524181,2010-09-27 16:59:00,4464.719999999999,5670.194399999999,5223.722399999999
558526,2011-06-30 11:01:00,4401.0,5589.27,5149.17
550461,2011-04-18 13:20:00,4254.5,5403.215,4977.764999999999
532358,2010-11-11 17:05:00,4176.0,5303.52,4885.92
562439,2011-08-04 18:06:00,4176.0,5303.52,4885.92
573077,2011-10-27 14:13:00,4161.06,5284.546200000001,4868.4402
573080,2011-10-27 14:20:00,4161.06,5284.546200000001,4868.4402
540689,2011-01-11 08:43:00,4121.64,5234.482800000001,4822.3188
571751,2011-10-19 11:18:00,3949.32,5015.6364,4620.7044
529613,2010-10-29 10:46:00,3941.9999999999995,5006.339999999999,4612.139999999999
526934,2010-10-14 09:46:00,3884.0000000000005,4932.68,4544.280000000001
524181,2010-09-27 16:59:00,3862.08,4904.8416,4518.633599999999
581115,2011-12-07 12:20:00,3861.0,4903.47,4517.37
537659,2010-12-07 16:43:00,3828.0,4861.56,4478.759999999999
567423,2011-09-20 11:05:00,3825.3599999999997,4858.2072,4475.6712
537899,2010-12-09 10:44:00,3794.3999999999996,4818.888,4439.447999999999
523166,2010-09-20 15:33:00,3707.4,4708.398,4337.657999999999
540815,2011-01-11 12:55:00,3700.0,4699.0,4329.0
579498,2011-11-29 15:52:00,3651.6,4637.532,4272.371999999999
497946,2010-02-15 11:57:00,3630.7999999999997,4611.116,4248.035999999999
567423,2011-09-20 11:05:00,3621.0,4598.67,4236.57
524181,2010-09-27 16:59:00,3618.9599999999996,4596.079199999999,4234.1831999999995
517483,2010-07-29 12:29:00,3610.5,4585.335,4224.285
524181,2010-09-27 16:59:00,3522.6000000000004,4473.702,4121.442
550461,2011-04-18 13:20:00,3380.0,4292.6,3954.6
540818,2011-01-11 12:57:00,3314.9999999999995,4210.049999999999,3878.5499999999993
524181,2010-09-27 16:59:00,3308.32,4201.566400000001,3870.7344
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
572209,2011-10-21 12:08:00,3285.0,4171.95,3843.45
540689,2011-01-11 08:43:00,3272.4,4155.948,3828.708
581375,2011-12-08 12:36:00,3254.4,4133.088,3807.6479999999997
543378,2011-02-07 15:34:00,3215.52,4083.7104,3762.1584
543379,2011-02-07 15:37:00,3215.52,4083.7104,3762.1584
524181,2010-09-27 16:59:00,3210.24,4077.0047999999997,3755.9807999999994
544612,2011-02-22 10:43:00,3202.9199999999996,4067.7083999999995,3747.416399999999
521315,2010-09-03 12:01:00,3187.2,4047.7439999999997,3729.0239999999994
574293,2011-11-03 15:32:00,3174.4,4031.4880000000003,3714.048
567423,2011-09-20 11:05:00,3170.16,4026.1032,3709.0871999999995
529350,2010-10-28 09:29:00,3168.0,4023.36,3706.56
554366,2011-05-24 10:24:00,3160.08,4013.3016,3697.2935999999995
569382,2011-10-03 16:44:00,3155.95,4008.0564999999997,3692.4614999999994
561633,2011-07-28 14:33:00,3129.6000000000004,3974.5920000000006,3661.632
554868,2011-05-27 10:52:00,3096.0,3931.92,3622.3199999999997
567381,2011-09-20 10:12:00,3035.52,3855.1104,3551.5584
538191,2010-12-10 10:49:00,2978.3999999999996,3782.5679999999998,3484.727999999999
515281,2010-07-09 13:53:00,2970.7500000000005,3772.8525000000004,3475.7775
515296,2010-07-09 15:20:00,2970.7500000000005,3772.8525000000004,3475.7775
567423,2011-09-20 11:05:00,2959.4399999999996,3758.4887999999996,3462.544799999999
581457,2011-12-08 18:43:00,2896.7000000000003,3678.809,3389.139
537659,2010-12-07 16:43:00,2868.0,3642.36,3355.56
498152,2010-02-17 10:51:00,2836.7999999999997,3602.736,3319.0559999999996
523576,2010-09-22 16:26:00,2803.2,3560.064,3279.7439999999997
532582,2010-11-12 14:24:00,2803.2,3560.064,3279.7439999999997
540689,2011-01-11 08:43:00,2786.4,3538.728,3260.0879999999997
524162,2010-09-27 16:18:00,2769.9,3517.773,3240.783
526934,2010-10-14 09:46:00,2766.2400000000002,3513.1248000000005,3236.5008000000003
566931,2011-09-15 15:27:00,2748.0,3489.96,3215.16
529356,2010-10-28 09:44:00,2736.16,3474.9231999999997,3201.3071999999997
550461,2011-04-18 13:20:00,2730.0,3467.1,3194.1
567381,2011-09-20 10:12:00,2704.0,3434.08,3163.68
580363,2011-12-02 16:32:00,2685.0,3409.9500000000003,3141.45
527258,2010-10-15 12:40:00,2667.88,3388.2076,3121.4195999999997
562439,2011-08-04 18:06:00,2662.2000000000003,3380.9940000000006,3114.7740000000003
540689,2011-01-11 08:43:00,2617.08,3323.6916,3061.9835999999996
558526,2011-06-30 11:01:00,2610.0,3314.7000000000003,3053.7
526934,2010-10-14 09:46:00,2603.04,3305.8608,3045.5568
531866,2010-11-10 11:28:00,2603.04,3305.8608,3045.5568
537657,2010-12-07 16:42:00,2603.04,3305.8608,3045.5568
574294,2011-11-03 15:47:00,2601.0,3303.27,3043.1699999999996
581175,2011-12-07 15:16:00,2577.6,3273.552,3015.792
525498,2010-10-05 16:47:00,2545.85,3233.2295,2978.6445
567381,2011-09-20 10:12:00,2529.6,3212.592,2959.6319999999996
567381,2011-09-20 10:12:00,2529.6,3212.592,2959.6319999999996
502269,2010-03-23 15:36:00,2500.0,3175.0,2925.0
502269,2010-03-23 15:36:00,2500.0,3175.0,2925.0
502269,2010-03-23 15:36:00,2500.0,3175.0,2925.0
502269,2010-03-23 15:36:00,2500.0,3175.0,2925.0
